time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1583422200,74.42,74.8075,74.2125,74.4125,842200,1495727.8,53.53421884040682,57.615935574914,NaN,NaN,50
1583424000,74.42,74.885,74.215,74.7425,702484,1416211,55.467955126745565,57.57933072881237,NaN,NaN,50
1583425800,74.7275,74.8375,74.24,74.3325,618260,1353691,52.542270942949784,57.18335972975856,NaN,NaN,50
1583427600,74.3625,74.4425,74.0725,74.2,645312,1289035.4,51.595138365575515,56.902845771296725,NaN,NaN,50
1583429400,74.1775,74.335,73.31,73.555,1141032,1195896.2,47.1403857927926,56.194582325318116,NaN,NaN,50
1583431200,73.5375,73.95,73.3475,73.9275,875928,1136259.2,49.83423623251058,55.49503659052905,NaN,NaN,50
1583433000,73.9225,74.2,73.735,74.015,793520,1071630,50.472735338615216,54.765566898456825,NaN,NaN,50
1583434800,73.9575,73.9575,73.4475,73.5325,855628,1045360.4,46.925912172929365,53.90415196709656,NaN,NaN,50
1583436600,73.5375,73.95,73.5275,73.6175,1064704,1052588.4,47.62417649221032,53.01386952457734,NaN,NaN,50
1583438400,73.625,73.74,72.96,73.1175,1664744,1084132.6,43.96035532153539,51.96093508155339,NaN,NaN,50
1583440200,73.1,73.7175,72.8675,73.23,2750216,1187322.8,44.98588474040445,50.84156905091858,NaN,NaN,50
1583505000,70.5,71.375,70.3175,71.11,2761348,1280431.4,32.80332317554793,48.63847607714805,NaN,NaN,50
1583506800,71.105,72.09,71.09,72.03,2050552,1316959.2,40.35237110421732,47.922324631938515,NaN,NaN,50
1583508600,72.025,72.5025,71.705,71.9575,1641696,1355801.2,39.971281308832125,46.94358892537664,NaN,NaN,50
1583510400,71.97375,72.0075,71.285,71.5325,1206960,1374742.2,37.72226976761712,45.814163991605945,NaN,NaN,50
1583512200,71.5125,71.8575,71.03,71.1275,1048740,1379385.2,35.66300439095106,44.399524653334915,NaN,NaN,50
1583514000,71.155,71.315,70.9,71.1825,884116,1367535.6,36.172586412066245,43.230261472557515,NaN,NaN,50
1583515800,71.2075,71.88,71.125,71.32,1107520,1256978.6,37.50525305218337,42.22384109302951,NaN,NaN,50
1583517600,71.3075,72.055,71.3025,71.785,895584,1238643,41.921606402451225,41.85107113657655,NaN,NaN,50
1583519400,71.785,71.9375,71.1175,71.2125,856988,1220376.6,38.330169345625244,41.02935207322761,NaN,NaN,50
1583521200,71.2325,71.3675,70.975,71.205,886756,1222604.4,38.28389748706999,40.15872079811724,NaN,NaN,50
1583523000,71.2125,71.29,70.4975,70.6125,1473324,1261146.4,34.7181948917796,39.28674099232082,NaN,NaN,50
1583524800,70.61,71.285,70.4075,70.9175,1717788,1316122.8,37.92338060569592,38.59382700042694,NaN,NaN,50
1583526600,70.90875,72.705,70.7575,72.2175,3517916,1459753,49.34036261979953,38.978113236017236,NaN,NaN,50
1583760600,65.9375,68.7625,65.7525,68.17,3144596,1559931.2,30.519785824616235,37.944820456318084,NaN,NaN,50
1583762400,68.215,69.34,67.3275,68.575,2865972,1659433.4,33.26294178772122,37.9776503571876,NaN,NaN,50
1583764200,68.5775,68.825,67.5775,67.8575,1919944,1715754.6,30.93291075168092,37.30483176057786,NaN,NaN,50
1583766000,67.8575,68.755,67.5075,68.2525,1887884,1767367.4,33.6868879086131,36.85594651770507,NaN,NaN,50
1583767800,68.2475,69.4,67.8875,69.0275,1709980,1799631.2,38.83974127781419,36.935765911290574,NaN,NaN,50
1583769600,69.0075,69.52,68.4925,68.58,1461640,1789476,37.04951895422947,37.03480266581046,NaN,NaN,50
1583771400,68.575,68.97,68.305,68.71,1380404,1720985.4,37.94436202792338,37.161358066943116,NaN,NaN,50
1583773200,68.695,69.0725,68.29875,68.345,1179016,1641868.8,36.38066484201862,37.08103033764563,NaN,NaN,50
1583775000,68.355,68.355,67.605,67.69,1126412,1595661.8,33.69699153201053,36.49355784689986,NaN,NaN,50
1583776800,67.71,67.97,67,67.2825,1453896,1586271.8,32.11001494417309,36.049261103938996,NaN,NaN,50
1583778600,67.285,67.895,66.98,67.5375,1724420,1612144.8,34.19841173944073,35.75744069339405,NaN,NaN,50
1583780400,67.55,68.37,67.245,68.035,1880768,1653746.2,38.19309102615353,36.005647560135046,NaN,NaN,50
1583782200,68,68.4475,66.5,66.525,4000188,1809549.8,31.869189416413676,35.573205332329174,NaN,NaN,50
1583847000,69.325,70.08,68.7375,69.7825,2838288,1896088.2,50.79648567444157,35.677214121946456,NaN,NaN,50
1583848800,69.8025,70.4525,69.56,69.9,2089280,1955773,51.32179810437016,37.16307214192888,NaN,NaN,50
1583850600,69.905,70.0475,68.7425,68.795,2278032,2026825.2,46.314040282442846,38.09529346298042,NaN,NaN,50
1583852400,68.7875,69.3375,67.795,68.0625,2653892,2115182,43.29798580171631,38.97851310941153,NaN,NaN,50
1583854200,68.075,68.5375,67.345,68.165,2893308,2186181.2,43.849027815790016,39.70438024563845,NaN,NaN,50
1583856000,68.1775,69.585,68.1775,68.72,2160912,2208337.4,46.86035980073143,40.27728156870396,NaN,NaN,50
1583857800,68.705,69.3625,68.415,69.0325,1227884,2093835.8,48.53400521051057,41.09760201558118,NaN,NaN,50
1583859600,69.025,69.565,68.7,69.1075,1351720,2004192,48.94957135521334,41.883688396101896,NaN,NaN,50
1583861400,69.085,69.4175,68.3275,68.4875,1139064,1917846.6,45.66683637159194,42.546986362499986,NaN,NaN,50
1583863200,68.5225,68.895,68.0825,68.7575,1233168,1883507.8,47.32359712779452,43.520315333627416,NaN,NaN,50
1583865000,68.79125,69.7875,68.7125,69.5525,1485176,1863372.4,51.96784046337972,44.93873144214218,NaN,NaN,50
1583866800,69.585,70.37,69.49,69.635,2022948,1879020.8,52.43648579379653,46.2414510174533,NaN,NaN,50
1583868600,69.6475,71.415,69.485,71.3875,4041140,2007995.8,61.1156153792448,47.878774185531256,NaN,NaN,50
